,eng,fre
2627,Drive faster.,Conduce más rápido.
2628,Drive safely.,Conduzca con cuidado.
2629,Drive slowly.,Conduce lentamente.
2630,Examine this.,Examina esto.
2631,Examine this.,Examine esto.
2632,Examine this.,Examiná esto.
2633,Examine this.,Examinad esto.
2634,Examine this.,Examinen esto.
2635,Fight or die.,Lucha o muere.
2636,Find the cat.,Encuentra al gato.
2637,Find the cat.,Encuentren al gato.
2638,Get the book.,Trae el libro.
2639,Get the book.,Consigue el libro.
2640,Get the book.,Recoge el libro.
2641,Get the book.,Traiga el libro.
2642,Get the book.,Recoja el libro.
2643,Get upstairs.,Andá para arriba.
2644,Ghosts exist.,Los fantasmas existen.
2645,Give me half.,Dame la mitad.
2646,Give me half.,Deme la mitad.
2647,Give me half.,Denme la mitad.
2648,Give me half.,Dadme la mitad.
2649,Give me that.,Dame eso.
2650,Give me time.,Dame tiempo.
2651,Give me time.,Denme tiempo.
2652,Give me time.,Deme tiempo.
2653,Go back home.,Devuélvete a la casa.
2654,Go on inside.,Entra.
2655,Go on inside.,Ve adentro.
2656,Go to school.,Vete a la escuela.
2657,Good for you.,Bien por ti.
2658,Good morning.,Buenos días.
2659,"Hang on, Tom.","Espera, Tom."
2660,Happy Easter!,Feliz Pascua.
2661,Happy Easter!,¡Feliz Pascua!
2662,Has she come?,¿Ha venido?
2663,Have a donut.,Toma una rosquilla.
2664,Have a donut.,Cómete una rosquilla.
2665,Have a drink.,Ten un trago.
2666,Have a drink.,Tómate algo.
2667,Have a snack.,Come botana.
2668,Have another.,Tomá otro.
2669,Have another.,Tomá otra.
2670,Have another.,Toma otra.
2671,Have another.,Toma otro.
2672,Have another.,Tome otro.
2673,Have another.,Tome otra.
2674,Have courage.,Sé valiente.
2675,Have courage.,Sed valientes.
2676,He avoids me.,Él me evita.
2677,He cried out.,Él gritó.
2678,He denied it.,Él lo negó.
2679,He dozed off.,Se quedó dormido.
2680,He got angry.,Él se enfadó.
2681,He had a dog.,Él tenía un perro.
2682,He has a dog.,Él tiene un perro.
2683,He has a dog.,Tiene un perro.
2684,He helps her.,La ayuda.
2685,He is French.,Es francés.
2686,He is cranky.,Está enfadado.
2687,He is cranky.,Está de morros.
2688,He is driven.,Él está motivado.
2689,He is eating.,Está comiendo.
2690,He is not in.,No está aquí.
2691,He is not in.,Él no está dentro.
2692,He kicked it.,Él lo pateó.
2693,He let me go.,Me dejó ir.
2694,He let me go.,Dejó que me fuera.
2695,He let us go.,Nos dejó irnos.
2696,He let us go.,Dejó que nos fuéramos.
2697,He likes tea.,Le gusta el té.
2698,He likes tea.,A él le gusta el té.
2699,He lost face.,Él fue humillado.
2700,He lost face.,Él quedó mal.
2701,He lost face.,Él perdió prestigio.
2702,He loved her.,Él la quería.
2703,He loves her.,Él la quiere.
2704,He runs fast.,Corre rápido.
2705,He seems ill.,Él se ve enfermo.
2706,He was alone.,Él estaba solo.
2707,He was brave.,Él era valiente.
2708,He was naive.,Él era ingenuo.
2709,He was wrong.,Él estaba equivocado.
2710,He will wait.,Esperará.
2711,He will walk.,Va a caminar.
2712,He's a bigot.,Es un fanático.
2713,He's a ninja.,Él es ninja.
2714,He's dieting.,Él está a dieta.
2715,He's in pain.,Está sufriendo.
2716,He's jealous.,Él es celoso.
2717,He's my hero.,Él es mi héroe.
2718,He's out now.,El no está aquí ahora.
2719,He's so cute.,¡Él es tan lindo!
2720,He's so cute.,¡Él es tan bonito!
2721,Help Tom out.,Ayuda a Tom.
2722,Help Tom out.,Ayúdale a Tom.
2723,Here you are.,Aquí tienes.
2724,Here you are.,Aquí estás.
2725,Here you are.,Al fin te encuentro.
2726,Here you are.,Toma.
2727,Here you are.,Coge.
2728,Here's a pen.,Aquí tienes un bolígrafo.
2729,Here's a pen.,"Toma, un boli."
2730,"Hey, wait up!","¡Oye, aguarda!"
2731,How annoying!,¡No hay quién lo aguante!
2732,How annoying!,¡Qué rollo!
2733,How annoying!,¡Qué pesado!
2734,How annoying!,¡Qué incordio!
2735,How annoying!,¡Qué hincha pelotas!
2736,How arrogant!,¡Qué arrogante!
2737,How horrible!,¡Qué horrible!
2738,How romantic!,¡Qué romántico!
2739,How's school?,¿Cómo te va en el colegio?
2740,How's school?,¿Cómo es la escuela?
2741,How's school?,¿Qué tal la escuela?
2742,I admire Tom.,Admiro a Tom.
2743,I admire you.,Te admiro.
2744,I am Chinese.,Soy chino.
2745,I am a woman.,Soy una mujer.
2746,I am at home.,Estoy en casa.
2747,I am at home.,Ya estoy en casa.
2748,I am baffled.,Estoy confuso.
2749,I am curious.,Tengo curiosidad.
2750,I am curious.,Quiero saberlo.
2751,I am injured.,Estoy lesionado.
2752,I am married.,Estoy casado.
2753,I am married.,Estoy casada.
2754,I am praying.,Estoy rezando.
2755,I am working.,Estoy trabajando.
2756,I apologized.,Me disculpé.
2757,I ate apples.,Comí manzanas.
2758,I ate apples.,Yo comí manzanas.
2759,I ate caviar.,Comí caviar.
2760,I bit my lip.,Me mordí el labio.
2761,I called Tom.,Llamé a Tom.
2762,I can fix it.,Yo puedo arreglarlo.
2763,I can't cook.,No sé cocinar.
2764,I can't help.,Yo no puedo ayudar.
2765,I can't move.,No me puedo mover.
2766,I can't sing.,No puedo cantar.
2767,I can't stay.,No me puedo quedar.
2768,I can't stop.,No puedo parar.
2769,I can't swim.,No sé nadar.
2770,I can't talk.,No puedo hablar.
2771,I can't walk.,No puedo caminar.
2772,I could walk.,Podría caminar.
2773,I cut myself.,Me corto.
2774,I cut myself.,Me corté.
2775,I cut myself.,Me he cortado.
2776,I detest Tom.,Detesto a Tom.
2777,I did my job.,Hice mi trabajo.
2778,I did see it.,Yo lo vi.
2779,I didn't ask.,Yo no pregunté.
2780,I didn't lie.,No mentí.
2781,I didn't pay.,No pagué.
2782,I do want it.,Sí que lo quiero.
2783,I don't care.,No me importa.
2784,I don't care.,Me chupa un huevo.
2785,I don't know.,No sé.
2786,I don't know.,No lo sé.
2787,I don't know.,Lo desconozco.
2788,I don't mind.,No me importa.
2789,I don't sing.,Yo no canto.
2790,I drank milk.,Tomé leche.
2791,I drank milk.,He bebido leche.
2792,I eat cheese.,Yo como queso.
2793,I feel alive.,Me siento vivo.
2794,I feel alive.,Me siento viva.
2795,I feel faint.,Me siento débil.
2796,I feel great.,Me siento genial.
2797,I feel happy.,Yo estoy contento.
2798,I feel tired.,Me siento cansado.
2799,I felt alone.,Me sentía solo.
2800,I felt woozy.,Me sentí atontado.
2801,I felt woozy.,Me sentía aturdido.
2802,I found them.,Los encontré.
2803,I found them.,Las encontré.
2804,I framed Tom.,Yo enmarqué a Tom.
2805,I go to work.,Voy a trabajar.
2806,I got carded.,Me pidieron mi identificación.
2807,I got carded.,Me pidieron identificarme.
2808,I got carded.,Me pidieron la documentación.
2809,I got mugged.,Me atracaron.
2810,I had doubts.,Yo tenía dudas.
2811,I had to try.,Tenía que probar.
2812,I hate liars.,Detesto a los mentirosos.
2813,I hate opera.,Odio la ópera.
2814,I hate rules.,Odio las reglas.
2815,I hate sushi.,Odio el sushi.
2816,I have a car.,Tengo un coche.
2817,I have a car.,Tengo un carro.
2818,I have a cat.,Tengo un gato.
2819,I have a dog.,Tengo un perro.
2820,I have a key.,Tengo una llave.
2821,I have a pen.,Tengo una pluma.
2822,I have a pen.,Tengo un bolígrafo.
2823,I have money.,Tengo dinero.
2824,I have to go.,Tengo que ir.
2825,I have to go.,Debo ir.
2826,I hear music.,Yo escucho música.
2827,I helped Tom.,Ayudé a Tom.
2828,I hugged her.,La abracé.
2829,I just moved.,Acabo de mudarme.
2830,I keep a dog.,Tengo un perro.
2831,I like China.,Me gusta China.
2832,I like beans.,Me gustan los frijoles.
2833,I like bread.,Me gusta el pan.
2834,I like candy.,Me gustan los dulces.
2835,I like chess.,Me gusta el ajedrez.
2836,I like fruit.,Me gusta la fruta.
2837,I like honey.,Me gusta la miel.
2838,I like opera.,Me gusta la ópera.
2839,I like pizza.,Me gusta la pizza.
2840,I like sushi.,Me gusta el sushi.
2841,I like these.,Me gusta eso.
2842,I like women.,Me gustan las mujeres.
2843,I live alone.,Yo vivo solo.
2844,I love books.,Me encantan los libros.
2845,I love games.,Me encantan los juegos.
2846,I love trips.,Me encantan los viajes.
2847,I loved that.,Eso me gustó.
2848,I loved that.,Eso me gustaba.
2849,I loved that.,A mí me gustaba eso.
2850,I made a bet.,Hice una apuesta.
2851,I made these.,Yo hice éstos.
2852,I made these.,Éstos los hice yo.
2853,I misled Tom.,Yo engañé a Tom.
2854,I missed you.,Te eché de menos.
2855,I missed you.,Te extrañé.
2856,I need a cab.,Necesito un taxi.
2857,I need a car.,Necesito un coche.
2858,I need a car.,Necesito un auto.
2859,I need a hug.,Necesito un abrazo.
2860,I need a nap.,Necesito una siesta.
2861,I need paint.,Necesito pintura.
2862,I need paint.,Me falta pintura.
2863,I need sleep.,Necesito dormir.
2864,I need space.,Necesito espacio.
2865,I need water.,Necesito agua.
2866,I need water.,Yo necesito agua.
2867,I needed you.,Te necesitaba.
2868,I needed you.,Yo te necesité.
2869,I often read.,Leo frecuentemente.
2870,I phoned him.,Lo llamé.
2871,I read books.,Leo libros.
2872,I see a book.,Veo un libro.
2873,I see a lion.,Veo un león.
2874,I see a star.,Veo una estrella.
2875,I speak fast.,Hablo rápido.
2876,I sympathize.,Simpatizo.
2877,I understand.,Lo entiendo.
2878,I understand.,Entiendo.
2879,I want a dog.,Quiero un perro.
2880,I want a lot.,Quiero muchas cosas.
2881,I want money.,Quiero dinero.
2882,I want these.,Quiero éstos.
2883,I want to go.,Quiero ir.
2884,I warned Tom.,He avisado a Tom.
2885,I was afraid.,Tenía miedo.
2886,I was framed.,Fui enmarcado.
2887,I was hungry.,Tenía hambre.
2888,I was lonely.,Estaba solo.
2889,I was lonely.,Yo me encontraba solo.
2890,I was sleepy.,Tenía sueño.
2891,I went twice.,Fui dos veces.
2892,I won't lose!,¡No voy a perder!
2893,I won't lose!,¡No perderé!
2894,I wonder why.,Me pregunto por qué.
2895,I wrote that.,Yo escribí eso.
2896,I'd buy that.,Yo compraría eso.
2897,I'll ask Tom.,Le preguntaré a Tom.
2898,I'll ask him.,Se lo preguntaré.
2899,I'll be back.,Volveré.
2900,I'll be fine.,Estaré bien.
2901,I'll be free.,Voy a estar libre.
2902,I'll be free.,Seré libre.
2903,I'll buy one.,Voy a comprar uno.
2904,I'll do that.,Haré eso.
2905,I'll read it.,Lo voy a leer.
2906,I'll risk it.,Me arriesgaré.
2907,I'll see Tom.,Voy a ver a Tom.
2908,I'll sue you.,Te demandaré.
2909,I'm Tom's ex.,Soy la ex de Tom.
2910,I'm a doctor.,Soy médico.
2911,I'm a doctor.,Soy doctor.
2912,I'm a doctor.,Soy médica.
2913,I'm a farmer.,Soy un granjero.
2914,I'm a surfer.,Soy surfista.
2915,I'm a waiter.,Soy camarero.
2916,I'm a writer.,Soy escritor.
2917,I'm all ears.,Soy todo oídos.
2918,I'm an actor.,Soy actor.
2919,I'm an adult.,Soy adulta.
2920,I'm an adult.,Soy adulto.
2921,I'm an agent.,Soy agente.
2922,I'm anorexic.,Soy anoréxico.
2923,I'm autistic.,Soy autista.
2924,I'm barefoot.,Estoy descalzo.
2925,I'm confused.,Estoy confuso.
2926,I'm confused.,Estoy confusa.
2927,I'm confused.,Estoy confundido.
2928,I'm confused.,Estoy confundida.
2929,I'm divorced.,Estoy divorciada.
2930,I'm doubtful.,Estoy dubitativo.
2931,I'm drowning.,Me estoy ahogando.
2932,I'm educated.,Tengo formación.
2933,I'm famished.,Estoy muerto de hambre.
2934,I'm free now.,Ahora estoy libre.
2935,I'm free now.,Ahora soy libre.
2936,I'm freezing.,Estoy congelado.
2937,I'm freezing.,Estoy helado.
2938,I'm freezing.,Me estoy helando.
2939,I'm grateful.,Soy agradecida.
2940,I'm grieving.,Estoy de luto.
2941,I'm gullible.,Soy ingenuo.
2942,I'm hesitant.,Estoy vacilante.
2943,I'm hurt bad.,Estoy gravemente herido.
2944,I'm in Perth.,Estoy en Perth.
2945,I'm innocent.,Soy inocente.
2946,I'm literate.,Soy culto.
2947,I'm new here.,Soy nuevo aquí.
2948,I'm no angel.,No soy un ángel.
2949,I'm no rebel.,Yo no soy un rebelde.
2950,I'm no rebel.,Yo no soy ningún rebelde.
2951,I'm not bald.,No soy calvo.
2952,I'm not bald.,No estoy calvo.
2953,I'm not busy.,No estoy ocupado.
2954,I'm not deaf.,No estoy sordo.
2955,I'm not dumb.,No soy estúpido.
2956,I'm not here.,Yo no estoy aquí.
2957,I'm not lazy.,No soy perezoso.
2958,I'm not poor.,No soy pobre.
2959,I'm not rich.,No soy rico.
2960,I'm not sick.,No estoy enferma.
2961,I'm not sure.,No estoy seguro.
2962,I'm not tall.,No soy alto.
2963,I'm painting.,Estoy pintando.
2964,I'm pregnant.,Estoy embarazada.
2965,I'm pregnant.,Estoy embarazado.
2966,I'm prepared.,Estoy preparado.
2967,I'm prepared.,Estoy preparada.
2968,I'm rational.,Soy racional.
2969,I'm relieved.,Me siento aliviado.
2970,I'm restless.,Soy inquieto.
2971,I'm restless.,Soy desasosegado.
2972,I'm restless.,Soy intranquilo.
2973,I'm shopping.,Estoy comprando.
2974,I'm sleeping.,Estoy durmiendo.
2975,I'm so alone.,Estoy tan solo.
2976,I'm so happy.,Soy tan feliz.
2977,I'm so happy.,Estoy tan feliz.
2978,I'm so sorry.,Lo siento tanto.
2979,I'm so sorry.,Lo lamento tanto.
2980,I'm so tired!,¡Estoy tan cansado!
2981,I'm so tired!,¡Estoy tan cansada!
2982,I'm so tired.,Estoy muy cansado.
2983,I'm starving!,¡Me muero de hambre!
2984,I'm starving!,¡Me estoy muriendo de hambre!
2985,I'm still up.,Todavía estoy levantado.
2986,I'm stubborn.,Soy terco.
2987,I'm studying.,Estoy estudiando.
2988,I'm the best.,Soy el mejor.
2989,I'm thinking.,Estoy pensando.
2990,I'm thinking.,Estoy meditando.
2991,I'm thirteen.,Tengo trece años.
2992,I'm thorough.,Soy concienzudo.
2993,I'm thrilled.,Estoy entusiasmado.
2994,I'm tolerant.,Soy tolerante.
2995,I'm very fat.,Estoy tan gordo.
2996,I'm very fat.,Soy muy gordo.
2997,I'm very fat.,Soy muy gorda.
2998,I'm very fat.,Estoy muy gorda.
2999,I'm very hot.,Estoy muy cachondo.
3000,I'm very sad.,Estoy muy triste.
3001,I'm very shy.,Soy muy tímido.
3002,I'm very shy.,Soy muy tímida.
3003,I'm with him.,Estoy con él.
3004,I'm worn out.,Estoy exhausto.
3005,I'm worn out.,Estoy reventado.
3006,I've lost it.,Lo he perdido.
3007,I've seen it.,Lo he visto.
3008,Ice is solid.,El hielo es sólido.
3009,Iron is hard.,El hierro es duro.
3010,Is Monday OK?,¿Está bien el lunes?
3011,Is Tom awake?,¿Está Tom despierto?
3012,Is Tom crazy?,¿Tom está loco?
3013,Is Tom cured?,¿Está Tom curado?
3014,Is Tom drunk?,¿Tom está borracho?
3015,Is Tom dying?,¿Se está muriendo Tom?
3016,Is Tom happy?,¿Tom es feliz?
3017,Is Tom lucid?,¿Tom es lúcido?
3018,Is Tom there?,¿Está ahí Tom?
3019,Is it a deer?,¿Eso es un ciervo?
3020,Is it a trap?,¿Acaso es una trampa?
3021,Is it a wolf?,¿Acaso es un lobo?
3022,Is it a wolf?,¿Es un lobo?
3023,Is it an elk?,¿Eso es un alce?
3024,Is it broken?,¿Está roto?
3025,Is it enough?,¿Es suficiente?
3026,Is that love?,¿Eso es amor?
3027,Is that mine?,¿Es mío ése?
3028,Is that mine?,¿Es ése el mío?
3029,Is that true?,¿Es verdad?
3030,Is this love?,¿Esto es amor?
3031,Is this mine?,¿Es éste el mío?
3032,Is this mine?,¿Es mío éste?
3033,Is this nice?,¿Es esto bueno?
3034,Is this real?,¿Esto es real?
3035,Is this real?,¿Esto es auténtico?
3036,Is this wine?,¿Esto es vino?
3037,It has begun.,Ha empezado.
3038,It has begun.,Empezó.
3039,It has begun.,Comenzó.
3040,It is a book.,Esto es un libro.
3041,It isn't new.,No es nuevo.
3042,It looks fun.,Se ve divertido.
3043,It may break.,Se puede romper.
3044,It may break.,Puede que se rompa.
3045,It was black.,Era negro.
3046,It was gross.,Fue repugnante.
3047,It was magic.,Fue mágico.
3048,It was night.,Era de noche.
3049,It wasn't me.,Yo no fui.
3050,It went well.,Salió bien.
3051,It will burn.,Se quemará.
3052,It'll be fun.,Eso será divertido.
3053,It'll be fun.,Será divertido.
3054,It's a curse.,Es una maldición.
3055,It's a trick.,Es una trampa.
3056,It's amazing.,¡Eso es increíble!
3057,It's bedtime.,Es hora de irte a la cama.
3058,It's for Tom.,Es para Tom.
3059,It's for you.,Esto es para usted.
3060,It's morning.,Es por la mañana.
3061,It's my book.,Es mi libro.
3062,It's my life.,Es mi vida.
3063,It's my turn.,Es mi turno.
3064,It's my turn.,Me toca.
3065,It's no joke.,No es una broma.
3066,It's on fire.,Está en llamas.
3067,It's our car.,Es nuestro carro.
3068,It's our job.,Es nuestro trabajo.
3069,It's perfect.,Está perfecto.
3070,It's snowing.,Está nevando.
3071,It's so easy.,Es tan fácil.
3072,It's strange.,Es extraño.
3073,It's too big.,Es demasiado grande.
3074,It's too hot.,Hace demasiado calor.
3075,It's too hot.,Hace mucho calor.
3076,It's too hot.,Está demasiado caliente.
3077,It's useless.,Es inútil.
3078,It's working.,Está funcionando.
3079,Just ask Tom.,Solo pregúntale a Tom.
3080,Just do that.,¡Tan solo hazlo!
3081,Just hang on.,Sólo espera.
3082,Just hold on.,Sólo espera.
3083,Just say yes.,Nomás di que sí.
3084,Just say yes.,Di que sí y ya.
3085,Keep dancing.,Seguí bailando.
3086,Keep digging.,Seguí cavando.
3087,Keep driving.,Sigue conduciendo.
3088,Keep looking.,Sigue mirando.
3089,Keep reading.,Siga leyendo.
3090,Keep reading.,Sigue leyendo.
3091,Keep running.,Seguí corriendo.
3092,Keep running.,Sigue corriendo.
3093,Keep running.,Siga corriendo.
3094,Keep running.,Sigan corriendo.
3095,Keep singing.,Sigue cantando.
3096,Keep smiling.,Sigue sonriendo.
3097,Keep smiling.,Continúa sonriendo.
3098,Keep smiling.,Sigan sonriendo.
3099,Keep smiling.,Continuad sonriendo.
3100,Keep talking.,Continuá hablando.
3101,Keep talking.,Continúa hablando.
3102,Keep talking.,Continúe hablando.
3103,Keep walking.,Seguí caminando.
3104,Keep writing.,Seguí escribiendo.
3105,Let Tom come.,Deja venir a Tom.
3106,Let Tom stay.,Deja que Tom se quede.
3107,Let go of it.,Déjalo ir.
3108,Let go of me!,¡Suéltame!
3109,Let go of me.,Déjame ir.
3110,Let me do it.,Deja que lo haga.
3111,Let me leave!,¡Déjame salir!
3112,Let me leave!,¡Déjame irme!
3113,Let me speak.,Dejame hablar.
3114,Let me think.,Déjame pensar.
3115,Let's go eat.,Vamos a comer.
3116,Let's go eat.,Vámonos a comer.
3117,Let's go out.,Salgamos.
3118,Let's listen.,Escuchemos.
3119,Let's not go.,No vayamos.
3120,Life goes on.,La vida continúa.
3121,Life is hard.,La vida es dura.
3122,Life's short.,La vida es corta.
3123,Look at that!,¡Mira eso!
3124,Look at that!,¡Fíjate en eso!
3125,Look at that.,Míralo.
3126,Look at that.,Mira eso.
3127,Look at this.,Mira esto.
3128,Look at this.,Fíjate en esto.
3129,Look closely.,Mira atentamente.
3130,Look closely.,Mira de cerca.
3131,Look closely.,Mira detenidamente.
3132,Make a guess.,Adivina.
3133,Make it stop.,Haz que se detenga.
3134,Mary came in.,Entró Mary.
3135,Mary giggled.,Mary soltó una risita.
3136,Mary is tall.,María es alta.
3137,"Meat, please.","Carne, por favor."
3138,Men are pigs.,Los hombres son cerdos.
3139,"Move on, Tom.","Continúa, Tom."
3140,"Move on, Tom.","Prosigue, Tom."
3141,Move quietly.,Muévete sin hacer ruido.
3142,My arm hurts.,Me duele el brazo.
3143,My ears hurt.,Me duelen las orejas.
3144,My feet hurt.,Me duelen los pies.
3145,My hip hurts.,Me duele la cadera.
3146,My jaw hurts.,Me duele la mandíbula.
3147,My leg hurts.,Me duele la pierna.
3148,No one knows.,Nadie sabe.
3149,No one moved.,No se movió nadie.
3150,No one moved.,Nadie se movió.
3151,Nobody asked.,Nadie preguntó.
3152,Nobody knows.,Nadie sabe.
3153,Now I get it.,Ahora lo entiendo.
3154,Now I get it.,Ahora lo cacho.
3155,Now leave us.,Ahora déjanos.
3156,Now sit down.,Ahora sentate.
3157,Now try this.,Ahora probá este.
3158,"Oh, I got it.","Ah, entiendo."
3159,"Oh, I got it.","Oh, lo obtuve."
3160,Open the box.,Abrí la caja.
3161,Open the box.,Abra la caja.
3162,Our team won.,Nuestro equipo ganó.
3163,Please hurry!,"¡Por favor, apurate!"
3164,Please leave.,"Por favor, márchese."
3165,Please relax.,Por favor cálmate.
3166,Please smile.,Sonríe.
3167,Please smile.,Sonreíd.
3168,Point it out.,Señalalo.
3169,Pull it open.,Ábrela.
3170,Pull it open.,Ábrela del todo.
3171,Put it there.,Ponedlo allí.
3172,Put it there.,Ponlo allí.
3173,Put it there.,Pónganlo allí.
3174,Put it there.,Ponlo ahí.
3175,Recess ended.,Terminó el descanso.
3176,Recess ended.,Se acabó el recreo.
3177,Run and hide.,Corre y escóndete.
3178,Say it again.,Repítelo.
3179,School's out.,Se acabó la escuela.
3180,School's out.,Se terminaron las clases.
3181,See you at 7.,Nos vemos a las 7.
3182,See you soon!,¡Hasta luego!
3183,See you soon!,¡Hasta pronto!
3184,See you soon!,Te veré pronto.
3185,See you then.,Hasta entonces.
3186,Shame on you!,¡Qué vergüenza!
3187,Shame on you!,¡Avergüénzate!
3188,She has wine.,Ella tiene vino.
3189,She has wine.,Tiene vino.
3190,She helps us.,Ella nos ayuda.
3191,She is happy.,Ella es feliz.
3192,She is quiet.,Ella es tranquila.
3193,She is quiet.,Es tranquila.
3194,She is quiet.,Está tranquila.
3195,She is wrong.,Ella está equivocada.
3196,She liked it.,Le gustó.
3197,She loves us.,Ella nos quiere.
3198,She may come.,Puede que venga.
3199,She shot him.,Le disparó.
3200,She stood up.,Ella se levantó.
3201,She sued him.,Ella le demandó.
3202,She went out.,Ella salió.
3203,She's pretty.,Es guapa.
3204,She's stupid.,No le llega agua al tanque.
3205,She's stupid.,Es un salame.
3206,Show me that.,Muéstrame eso.
3207,Sing with us.,Canta con nosotros.
3208,Someone came.,Ha venido alguien.
3209,Someone came.,Alguien llegó.
3210,Speak louder.,Habla más fuerte.
3211,Speak softly.,Habla en voz baja.
3212,Stay at home.,Quédate en casa.
3213,Stay focused.,Concéntrate.
3214,Stay focused.,No te desconcentres.
3215,Stay focused.,Permanece atento.
3216,Stay focused.,Céntrate.
3217,Stay with me.,Quedate conmigo.
3218,Stay with us.,Quedate con nosotros.
3219,Stay with us.,Quédate con nosotros.
3220,Step forward.,Da un paso al frente.
3221,Stop arguing.,No discutas.
3222,Stop arguing.,Deja de discutir.
3223,Stop gawking.,Deja de mirar.
3224,Stop pushing.,Deja de empujar.
3225,Stop reading.,Deja de leer.
3226,Stop reading.,Deje de leer.
3227,Stop singing.,Deja de cantar.
3228,Stop smoking.,Deja de fumar.
3229,Stop staring.,Deja de mirarme.
3230,Stop talking.,Cállate.
3231,Stop the car.,Pará el coche.
3232,Stop whining.,Deja de quejarte.
3233,Stop whining.,Ya vale de tanto lamento.
3234,Stop yelling.,Deja de gritar.
3235,Sweet dreams!,¡Felices sueños!
3236,Sweet dreams!,¡Dulces sueños!
3237,Switch it on.,Enciéndelo.
3238,Take a break.,Tómate un descanso.
3239,Take a break.,Descansa.
3240,Take a break.,Descanse.
3241,Take command.,Toma el control.
3242,Take command.,Hazte con el control.
3243,Take control.,Toma el control.
3244,Take it easy!,¡Relajate!
3245,Take it home.,Llévatelo a casa.
3246,Take it home.,Llévatelo.
3247,Take my hand.,Toma mi mano.
3248,Take the bus.,Tomate el bondi.
3249,Take us home.,Llévanos a casa.
3250,Tell me more.,Cuéntame más.
3251,Tell me more.,Dime más.
3252,Tell me more.,Dígame más.
3253,Tell me more.,Cuénteme más.
3254,Tell us more.,Dinos más.
3255,Tell us more.,Díganos más.
3256,Tell us more.,Dígannos más.
3257,Tell us more.,Cuéntanos más.
3258,Tell us more.,Cuéntenos más.
3259,Tell us more.,Cuéntennos más.
3260,Thanks a lot.,Se lo agradezco mucho.
3261,Thanks a lot.,Muchas gracias.
3262,Thanks a lot.,Muy agradecido.
3263,Thanks a lot.,Te lo agradezco mucho.
3264,Thanks again.,Gracias otra vez.
3265,Thanks again.,¡Gracias nuevamente!
3266,That does it.,Es el colmo.
3267,That is mine.,Eso es mío.
3268,That was Tom.,Ese era Tom.
3269,That was bad.,Eso fue malo.
3270,That was fun.,Eso fue divertido.
3271,That was odd.,Eso fue raro.
3272,That will do.,Eso bastará.
3273,That will do.,Con eso bastará.
3274,That will do.,Será suficiente.
3275,That will do.,Eso vale.
3276,That will do.,Con eso tengo.
3277,That'll help.,Eso ayudará.
3278,That'll last.,Durará.
3279,That'll last.,Eso durará.
3280,That'll work.,Funcionará.
3281,That'll work.,Eso funcionará.
3282,That'll work.,Eso me valdrá.
3283,That's Tom's.,Eso es de Tomás.
3284,That's a lie.,Eso es mentira.
3285,That's a lot!,¡Es un montón!
3286,That's crazy.,Es una locura.
3287,That's cruel.,Eso es cruel.
3288,That's my CD.,Es mi CD.
3289,That's right.,Eso es.
3290,That's right.,Así es.
3291,That's weird.,Es raro.
3292,That's weird.,Eso es extraño.
3293,The two left.,Ambos se fueron.
3294,They all sat.,Todos se sentaron.
3295,They approve.,Aprueban.
3296,They approve.,Ellos aprueban.
3297,They are big.,Son grandes.
3298,They came in.,Entraron.
3299,They came in.,Llegaron.
3300,They came in.,Ellas entraron.
3301,They came in.,Ellas entraban.
3302,They cheered.,Vitorearon.
3303,They crashed.,Tuvieron un accidente.
3304,They crashed.,Se chocaron.
3305,They crashed.,Se estrellaron.
3306,They escaped.,Se escaparon.
3307,They gave up.,Abandonaron.
3308,They gave up.,Se rindieron.
3309,They gave up.,Desistieron.
3310,They gave up.,Tiraron la toalla.
3311,They hate us.,Ellos nos odian.
3312,They help us.,Ellos nos ayudan.
3313,They help us.,Ellas nos ayudan.
3314,They knew me.,Me conocían.
3315,They know me.,Ellos me conocen.
3316,They know us.,Ellos nos conocen.
3317,They laughed.,Rieron.
3318,They love it.,Les encanta.
3319,They love it.,Lo adoran.
3320,They love me.,Ellos me aman.
3321,They need me.,Ellos me necesitan.
3322,They refused.,Se negaron.
3323,They said no.,Dijeron que no.
3324,They saw Tom.,Vieron a Tom.
3325,They saw you.,Ellos te vieron.
3326,They saw you.,Te vieron.
3327,They stopped.,Pararon.
3328,They sweated.,Sudaron.
3329,They want me.,Me quieren.
3330,They want me.,Me quieren a mí.
3331,They want me.,Ellos me quieren a mí.
3332,They'll call.,Llamarán.
3333,They'll call.,Ellos llamarán.
3334,They'll come.,Ellos vendrán.
3335,They'll come.,Vendrán.
3336,They'll know.,Lo sabrán.
3337,They'll wait.,Esperarán.
3338,They'll wait.,Aguardarán.
3339,They're back.,Ellas están de vuelta.
3340,They're back.,Ellos están de regreso.
3341,They're boys.,Son chicos.
3342,They're boys.,Ellos son chicos.
3343,They're boys.,Son muchachos.
3344,They're cold.,Ellos tienen frío.
3345,They're eggs.,Son huevos.
3346,They're fast.,Son rápidos.
3347,They're fine.,Ellos están bien.
3348,They're fine.,Están perfectamente.
3349,They're fine.,Están estupendamente.
3350,They're gone.,Se fueron.
3351,They're good.,Son buenos.
3352,They're here.,Están aquí.
3353,They're here.,Aquí están.
3354,They're here.,Se encuentran aquí.
3355,They're home.,Están en casa.
3356,They're mine.,Son míos.
3357,They're mine.,Ellos son míos.
3358,They're mine.,Ellas son mías.
3359,They're nice.,Son simpáticos.
